"Project Title","Principal Investigator","Co-Principal Investigators","Related to Project"
"ITR Collaborative Research: Enabling the Science Environment for Ecological Knowledge (SEEK)","Bertram Ludaescher","David Stockwell, Arcot Rajasekar, Nonejoseph goguen, Victor Vianu"
"Coming Together around Data, a PI Project Meeting for DataNet and INTEROP","Beth Plale","Scott Jensen"
"MRI: Acquisition of a High-Speed, High Capacity Storage System to Support Scientific Computing: The Data Capacitor","Craig Stewart","Stephen Simms, Randall Bramley, Thomas Hacker, Catherine Pilachowski, Beth Plale"
"HCC: Small: An Analytical Framework for Provenance-Rich Social Knowledge Collection","Yolanda Gil","None"
"Collaborative workshop proposal: Drawing the roadmap for the semantic/ontology based infrastructure for Geosciences","Hassan Babaie","None"
"CREST Phase II: Cyber-ShARE Center of Excellence","Ann Gates","Craig Tweedie, Deana Pennington, Natalia Villanueva, Aaron Velasco"
"Change Thinking for Global Science: Fostering and Evaluating Inquiry Thinking About the Ecological Impacts of Climate Change","Nancy Songer","James Beach, Philip Myers"
"West Nile virus: Eco-epidemiology of disease emergence in urban areas II","Tony Goldberg","Uriel Kitron, Jeffrey Brawn, Marilyn Ruiz, Edward Walker"
"EarthCube Assessment of the 2012 State of Geoinformatics: A Community and Interagency Exploration of the LifeCycle, Citation, and Integration of Geoscience Data","Peter Fox","None"
"III:Small: A Logic-Based, Provenance-Aware System for Merging Scientific Data under Context and Classification Constraints","Bertram Ludaescher","Todd Green, Shawn Bowers"
"EcoHealthNet: Ecology, Environmental Science and Health Research Network","Peter Daszak","Alonso Aguirre, Gregory Glass, Jonathan Epstein, Jonathan Patz"
"CREST: Center for Innovative Information Systems Engineering","Naphtali Rishe","Shu-Ching Chen, Armando Barreto, Xudong He, Naphtali Rishe, Malek Adjouadi"
"DataNet Full Proposal: Sustainable Environment through Actionable Data (SEAD)","Margaret Hedstrom","James Myers, Beth Plale, Praveen Kumar, George Alter"
"KDI: Knowledge Networking of Biodiversity Information","James Beach","David Stockwell, John Schnase, Leonard Krishtalka, Terry Yates, James Gosz"
"OZ: Deploying a Community Software Application for Biocollections Information","James Beach","Leonard Krishtalka"
"Collaborative Research: Impacts of Anthropogenic Change on the Ecology of Human Pathogens in a Eutrophying Estuary: The Neuse River Estuary, NC","James Bowen","None"
"Filtered Push: Continuous Quality Control for Distributed Collections and Other Species-Occurrence Data.","James Macklin","Bertram Ludaescher, James Macklin"
"Center for Advanced Knowledge Enablement","Naphtali Rishe","Shu-Ching Chen, Evangelos Christidis, Tao Li"
"NetSE: Large: Collaborative Research: Contagion in large socio-communication networks","Madhav Marathe","Stephen Eubank, Anil Kumar, Christopher Barrett"
"Promoting Ocean Literacy Through CAMEOS: Coastal, Atmospheric, and Marine Environmental Observing Studies","Susan Williams","Michael Gertz, Victor Chow, Bertram Ludaescher, Claudia Luke"
"RAPID: MRI: Development of Database Appliance Module for Multi-temporal Analysis and Correlation of Gulf Oil Spill Related Geospatial Data","Naphtali Rishe","None"
